Time,Pulse Rate,RR,BO Index,TEMP,PI,SDNN,RMSSD,VLF,LF,HF,TP
2022-04-16 12:42:31,115,22,98,34.2,0.047,16,15,18,52,30,100
2022-04-16 12:42:35,114,23,98,34.2,0.303,16,15,23,119,62,204
2022-04-16 12:42:39,118,22,98,34.2,0.658,14,13,40,181,70,291
2022-04-16 12:42:43,117,22,98,34.2,0.776,15,13,19,159,38,216
2022-04-16 12:42:47,117,22,98,34.2,0.645,15,10,14,101,20,135
2022-04-16 12:42:51,118,22,98,34.2,0.444,16,10,6,110,9,125
2022-04-16 12:42:55,110,21,98,34.2,0.74,21,13,57,154,14,225
2022-04-16 12:42:59,103,19,99,34.2,2.476,22,11,48,320,26,394
2022-04-16 12:43:03,105,19,99,34.2,2.312,22,12,94,633,54,781
2022-04-16 12:43:07,115,20,99,34.2,0.692,21,12,119,560,58,737
2022-04-16 12:43:11,117,20,99,34.2,0.013,22,12,160,269,61,490
2022-04-16 12:43:15,118,19,99,34.2,0.011,21,13,59,59,38,156
2022-04-16 12:43:19,117,19,99,34.2,0.009,18,12,73,56,19,148
2022-04-16 12:43:23,116,17,99,34.2,0.009,12,12,32,70,24,126
2022-04-16 12:43:27,115,18,99,34.2,0.009,13,12,41,67,29,137
2022-04-16 12:43:31,115,18,99,34.2,0.009,10,10,11,39,32,82
2022-04-16 12:43:35,118,18,99,34.2,0.007,11,10,24,31,27,82
2022-04-16 12:43:39,119,19,99,34.2,0.006,11,10,27,36,21,84
2022-04-16 12:43:43,117,19,99,34.2,0.004,16,11,49,108,15,172
2022-04-16 12:43:47,112,18,99,34.2,0.004,19,10,141,178,7,326
2022-04-16 12:43:51,112,19,99,34.2,0.005,18,10,102,301,12,415
2022-04-16 12:43:55,115,19,99,34.2,0.006,16,11,72,255,45,372
2022-04-16 12:43:59,115,20,99,34.2,0.006,16,11,56,138,30,224
2022-04-16 12:44:03,115,19,99,34.2,0.006,15,11,19,40,16,75
2022-04-16 12:44:07,116,20,99,34.2,0.006,11,11,5,10,9,24
2022-04-16 12:44:11,117,19,99,34.3,0.005,9,11,6,11,9,26
2022-04-16 12:44:15,117,20,99,34.3,0.005,8,9,9,20,9,38
2022-04-16 12:44:19,117,21,99,34.3,0.005,8,9,10,20,9,39
2022-04-16 12:44:23,119,21,99,34.3,0.006,9,9,4,18,7,29
2022-04-16 12:44:27,119,21,99,34.2,0.006,7,8,1,25,6,32
2022-04-16 12:44:31,118,21,99,34.3,0.005,7,7,3,33,5,41
2022-04-16 12:44:35,118,21,99,34.3,0.004,5,6,0,15,5,20
2022-04-16 12:44:39,119,21,99,34.3,0.004,6,7,0,27,7,34
2022-04-16 12:44:43,119,20,99,34.3,0.004,7,8,1,18,5,24
2022-04-16 12:44:47,119,21,98,34.3,0.005,7,8,1,10,6,17
2022-04-16 12:44:51,117,20,99,34.3,0.006,5,6,3,5,5,13
2022-04-16 12:44:55,117,22,99,34.3,0.006,5,6,2,4,8,14
2022-04-16 12:44:59,117,21,99,34.3,0.005,5,6,2,5,7,14
2022-04-16 12:45:03,118,21,99,34.3,0.006,5,6,4,7,5,16
2022-04-16 12:45:07,121,21,99,34.3,0.006,7,7,15,22,6,43
2022-04-16 12:45:11,120,22,99,34.3,0.005,7,6,9,16,4,29
2022-04-16 12:45:15,117,21,99,34.3,0.005,7,7,19,21,4,44
2022-04-16 12:45:19,117,20,99,34.3,0.005,7,7,17,36,4,57
2022-04-16 12:45:23,117,20,99,34.3,0.005,7,7,11,39,5,55
2022-04-16 12:45:27,118,21,99,34.3,0.005,7,7,15,24,5,44
2022-04-16 12:45:31,119,21,99,34.3,0.005,7,7,10,11,6,27
2022-04-16 12:45:35,118,21,99,34.3,0.004,5,5,5,9,7,21
2022-04-16 12:45:39,117,21,99,34.3,0.004,5,6,7,9,6,22
2022-04-16 12:45:43,116,21,99,34.3,0.006,5,6,6,9,3,18
2022-04-16 12:45:47,117,23,99,34.3,0.006,6,6,4,9,2,15
2022-04-16 12:45:51,119,22,99,34.3,0.005,8,7,17,13,3,33
2022-04-16 12:45:55,119,23,99,34.3,0.005,8,7,8,29,4,41
2022-04-16 12:45:59,118,22,100,34.3,0.004,8,7,11,59,5,75
